location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,DateIssued,DateEnacted,DateExpiry,DateEnded,PolicyCodingNotes,PolicySource,StateWide,LastUpdated,LastUpdatedNotes,,,,,,
523,1,AL,Alabama,EmergDec,1,20200313,20200313,,,Public Health Emergency,https://governor.alabama.gov/newsroom/2020/03/third-supplemental-state-of-emergency-coronavirus-covid-19/,1,20200324,,,,,,,
523,1,AL,Alabama,SchoolClose,1,20200314,20200318,,,in effect 20200318. 20200319 issuance also closed all public/private schools (20200314 is public school),http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,1,20200324,,,,,,,
523,1,AL,Alabama,GathRestrict25,1,20200319,20200320,,,"Announced 20200319, but signed into law 20200320",http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,1,20200324,,,,,,,
523,1,AL,Alabama,GathRestrictAny,1,20200319,20200320,,,"Announced 20200319, but signed into law 20200320",http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,1,20200324,,,,,,,
523,1,AL,Alabama,OtherBusinessClose,1,20200319,20200320,,,Beaches close,http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,1,20200324,,,,,,,
523,1,AL,Alabama,RestaurantRestrict,1,20200319,20200320,,,"Limited operations required: restaurants, bars, breweries",http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,1,20200324,,,,,,,
523,1,AL,Alabama,StayAtHome,1,20200324,20200324,20200403,,Limited to Birmingham only. Framed as shelter-in-place and curfew. Active as of noon on March 24,https://htv-prod-media.s3.amazonaws.com/files/2020-3-24-city-of-birminghamshelter-in-place-ordinance-1585073524.pdf,0,20200329,Added Birmingham only StayAtHome,,,,,,
523,1,AL,Alabama,GathRestrict10,1,20200327,20200328,20200417,,"Clearly statewide now, not limited to Birmingham",http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,1,20200412,Added expiry date,,,,,,
523,1,AL,Alabama,OtherBusinessClose,1,20200327,20200328,20200417,,"Non-essential business categories closed included entertainment venues, retail shops, personal care services, and athletic faciltiies. Not considered full NEBusinessClose yet due to only listing of additional types of businsess to close.",https://www.alabamapublichealth.gov/news/2020/03/27.html,1,20200331,,,,,,,
523,1,AL,Alabama,StayAtHome,1,20200403,20200404,20200430,,Goes into effect at 5 pm on 20200403,http://www.alabamapublichealth.gov/legal/assets/soe-covid19-stamped-040320.pdf,1,20200403,,,,,,,
524,2,AK,Alaska,EmergDec,1,20200311,20200311,,,Public Health Emergency,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Disaster-Packet.pdf,1,20200324,,,,,,,
524,2,AK,Alaska,SchoolClose,1,20200313,20200316,20200522,,"First issuance is schools staying closed until March 30 (i.e., extending spring break), issued 20200313 https://www.alaskapublic.org/2020/03/13/governor-says-all-k-12-students-in-alaska-to-attend-no-contact-school-until-march-30/ ...all public and private schools closed on 20200320 https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf, extended to end of the school year",https://gov.alaska.gov/home/covid19-healthmandates/,1,20200410,"Added expiry date, updated due to extension",,,,,,
524,2,AK,Alaska,OtherBusinessClose,1,20200316,20200317,20200421,,"All libraries, archives, and museums to be closed March 17-31",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,1,20200410,Added expiry date,,,,,,
524,2,AK,Alaska,RestaurantRestrict,1,20200317,20200318,20200421,,"Limited operations required: restaurants, bars, breweries, food trucks, self-service dining",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,1,20200324,Added expiry date,,,,,,
524,2,AK,Alaska,GathRestrict10,1,20200323,20200324,20200421,,"Issued 20200323, in effect on 20200324",https://gov.alaska.gov/home/covid19-healthmandates/,1,20200412,Added expiry date,,,,,,
524,2,AK,Alaska,GathRestrictAny,1,20200323,20200324,20200421,,"Issued 20200323, in effect on 20200324",https://gov.alaska.gov/home/covid19-healthmandates/,1,20200412,Added expiry date,,,,,,
524,2,AK,Alaska,OtherBusinessClose,1,20200323,20200324,20200421,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning ",https://gov.alaska.gov/home/covid19-healthmandates/,1,20200412,Added expiry date,,,,,,
524,2,AK,Alaska,StayAtHome,1,20200320,20200322,20200331,,Only applicable to Anchorage. Enacted at 10 pm on 20200322,https://www.muni.org/departments/mayor/pressreleases/documents/eo-03.pdf,0,20200329,Added Anchorage only StayAtHome,,,,,,
524,2,AK,Alaska,StayAtHome,1,20200327,20200328,20200411,,In effect as of 5 pm on 20200328. To be reevaluated on 20200411,https://content.govdelivery.com/accounts/AKDHSS/bulletins/283a713,1,20200330,,,,,,,
524,2,AK,Alaska,NEBusinessClose,1,20200327,20200328,20200411,,In effect as of 5 pm on 20200328. To be reevaluated on 20200411,https://content.govdelivery.com/accounts/AKDHSS/bulletins/283a713,1,20200330,,,,,,,
524,2,AK,Alaska,TravelRestrictIntra,1,20200327,20200328,20200411,,Travel between communities banned unless for critical personal or infastructure needs,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/,1,20200331,,,,,,,
524,2,AK,Alaska,Quarantine,1,20200323,20200325,20200421,,Mandates 14 day quarantine for all people arriving in Alaska from anywhere else,https://gov.alaska.gov/home/covid19-healthmandates/,1,20200331,,,,,,,
525,4,AZ,Arizona,EmergDec,1,20200311,20200311,,,Emergency Declaration/Public Health Emergency,https://azgovernor.gov/sites/default/files/declaraton_0.pdf,1,20200324,,,,,,,
525,4,AZ,Arizona,SchoolClose,1,20200315,20200316,20200625,,Public school closure. Statewide closure of all schools as of 20200320,https://azgovernor.gov/governor/news/2020/03/governor-doug-ducey-and-superintendent-kathy-hoffman-announce-closure-arizona,1,20200412,Added expiry date and governmental source for policy,,,,,,
525,4,AZ,Arizona,GathRecomAny,0,20200319,20200320,,,Recommendation for 10 or fewer occurred on 20200320. Not coded as restriction at present,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,1,20200324,,,,,,,
525,4,AZ,Arizona,OtherBusinessClose,1,20200319,20200320,,,"Closure required: movie theaters, indoor gyms, fitness clubs, bars",https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,1,20200324,,,,,,,
525,4,AZ,Arizona,RestaurantRestrict,1,20200319,20200320,,,"Limited operations required: restaurants, bars (for places in counties with COVID19), to be enacted by 20200320",https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,0,20200324,,,,,,,
525,4,AZ,Arizona,StayAtHome,1,20200330,20200331,20200430,,,"https://azgovernor.gov/executive-orders/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0_0%20(2).pdf
",1,20200331,,,,,,,
525,4,AZ,Arizona,Quarantine,1,20200407,20200409,,,"Quaranatine on any individuals entering Arizona from NY, NJ, CT as point of travel origin. Quarantine is 14 days long with exceptions for essential service providers",https://azgovernor.gov/sites/default/files/eo-2020-24.pdf,1,20200408,Added clarifying language in PolicyNotes regarding quarantine summary,,,,,,
526,5,AR,Arkansas,EmergDec,1,20200311,20200311,,,Public Health Emergency,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03.__1.pdf,1,20200324,,,,,,,
526,5,AR,Arkansas,SchoolClose,1,20200315,20200317,20200527,,in effect 20200317,http://adecm.arkansas.gov/ViewApprovedMemo.aspx?id=4328,1,20200412,"Added expiry date, note that governmental source is needed for PolicySource",,,,,,
526,5,AR,Arkansas,OtherBusinessClose,1,20200319,20200319,,,"Closure required: gyms, indoor entertainment avenues",https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf,1,20200324,,,,,,,
526,5,AR,Arkansas,RestaurantRestrict,1,20200319,20200319,,,Limited operations required: restaurants and bars,https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf,1,20200324,,,,,,,
